MATBR;MARKTX;WERKS;MAINS;LABST
10001;PARAFUSO;BT10;100;100
10002;MARTELO;BT50;100;1500
10003;PREGO;BT10;100;50
10004;SERRA;BT50;100;200
10005;MACHADO;BT50;100;100
10006;PORCA SEXTAVADA;BT10;100;450
10007;ARRUELA LISA;BT10;100;800
10008;CHAVE DE FENDA;BT10;100;35
10009;ALICATE UNIVERSAL;BT10;100;20
10010;BROCA DE ACO;BT10;100;150
10011;CABO ELETRICO;BT11;100;1200
10012;DISJUNTOR 20A;BT11;100;40
10013;FITA ISOLANTE;BT11;100;95
10014;CONECTOR SINDAL;BT11;100;300
10015;LAMPADA LED 9W;BT12;100;180
10016;REATOR DIGITAL;BT12;100;25
10017;CONTATOR 24V;BT11;100;15
10018;RELE INVERSOR;BT11;100;60
10019;CANALETA PVC;BT10;100;240
10020;BUCHA FIXACAO 8;BT10;100;2000
10021;GRAXA MINERAL;BT13;100;50
10022;OLEO SINTETICO;BT13;100;120
10023;SILICONE REFIL;BT13;100;45
10024;TINTA LATEX;BT13;100;15
10025;SOLVENTE PU;BT13;100;30
10026;LIXA DE AGUA;BT10;100;500
10027;DISCO DE CORTE;BT10;100;140
10028;DISCO FLAP;BT10;100;75
10029;ELETRODO REVEST;BT10;100;90
10030;ARAME DE SOLDA;BT10;100;10
10031;LUVA DE RASPA;BT14;100;80
10032;OCULOS DE SOLDA;BT14;100;35
10033;PROTETOR AUDIT;BT14;100;250
10034;CAPACETE ABA F;BT14;100;60
10035;BOTINA CADARCO;BT14;100;45
10036;AVENTAL IMPERM;BT14;100;20
10037;VALVULA ESFERA;BT15;100;40
10038;MANOMETRO 100PSI;BT15;100;18
10039;TUBO GALVANIZ;BT15;100;150
10040;CONEXAO JOELHO;BT15;100;110
10041;FLANGE INOX;BT15;100;16
10042;JUNTA AMIANTO;BT15;100;130
10043;CORREIA DENTADA;BT16;100;22
10044;ROLAMENTO FIXO;BT16;100;85
10045;ROLAMENTO ROLETE;BT16;100;40
10046;RETENTOR NITRIL;BT16;100;95
10047;ENGRENAGEM HELIC;BT16;100;12
10048;CORRENTE INDUSTRIAL;BT16;100;35
10049;ACOPLAMENTO ELAS;BT16;100;14
10050;POLIA DUPLA;BT16;100;18
10051;MOTOR MONOFASICO;BT11;100;5
10052;INVERSOR TRIF;BT11;100;4
10053;CLP AVANCADO;BT11;100;2
10054;FONTE 12VCC;BT11;100;15
10055;BOTAO PULSADOR;BT11;100;55
10056;CHAVE SELECTORA;BT11;100;30
10057;SINALEIRO AZUL;BT11;100;40
10058;SINALEIRO AMAR;BT11;100;40
10059;TERMINAL PRE ISOL;BT11;100;3000
10060;TERMINAL FORQUIL;BT11;100;1000
10061;ABRACADEIRA PLAS;BT10;100;500
10062;GUIA PASSA FIO;BT10;100;12
10063;MULTIMETRO PORT;BT10;100;8
10064;ALICATE DE CORTE;BT10;100;14
10065;SOLDA EM FIO;BT10;100;25
10066;FERRO DE SOLDA;BT10;100;10
10067;PASTA DE SOUDA;BT10;100;20
10068;SUGADOR ALUMINIO;BT10;100;15
10069;BROCA WIDIA;BT10;100;65
10070;BROCA CHATA;BT10;100;40
10071;SERRA COPO INOX;BT10;100;12
10072;SUPORTE ARCO S;BT10;100;15
10073;LAMINA SEGUETA;BT10;100;200
10074;TRENA A LASER;BT10;100;6
10075;NIVEL DE REGUA;BT10;100;8
10076;ESQUADRO CABO M;BT10;100;12
10077;MARTELO PENA;BT10;100;15
10078;MARRETA OITO L;BT10;100;6
10079;PULSAO DE CENTRO;BT10;100;25
10080;TALHADEIRA MEC;BT10;100;18
10081;CHAVE DE GRIFO;BT10;100;8
10082;CHAVE ALLEN MM;BT10;100;24
10083;CHAVE ESTRELA;BT10;100;35
10084;CHAVE DE BOCA;BT10;100;50
10085;JOGO SOQUETES;BT10;100;10
10086;CAIXA FERRAMENT;BT10;100;5
10087;ESTOPA ALVEJADA;BT13;100;40
10088;SABAO PASTA;BT13;100;25
10089;SPRAY ANTIFERR;BT13;100;80
10090;GRAFITE SPRAY;BT13;100;50
10091;OLEO SOLUVEL;BT13;100;70
10092;REMOVEDOR TINTA;BT13;100;20
10093;FITA TEFLON;BT15;100;400
10094;ADESIVO EPOXI;BT10;100;30
10095;COLA DE CONTATO;BT10;100;45
10096;REBITADOR ALAV;BT10;100;6
10097;REBITE ALUM;BT10;100;2500
10098;GRAMPO FIXADOR;BT10;1
